Théâtres,1864-04-10,1864-04-11,1864-04-12,1864-04-13,1864-04-14,1864-04-15,1864-04-16,10 - 16 avr.
Opéra,,7880.52,,6403.41,,9286.54,,23570.47
Théâtre Français,2668.9,3609.9,3456.7,2637.8,2600,3131.1,3158.8,21263.2
Opéra-Comique,4318.5,2568.25,5683.5,1721.5,5410.5,2386.5,5837.75,27926.5
Théâtre des Italiens,,,,,,,,
Odéon,4913.25,4864,4884.25,4887.5,4822,229.75,5077,29677.75
Théâtre-Lyrique,3018,1641,4510.5,1875,3607.5,,4306,18958
Vaudeville,1105.9,9266,2438.5,3448,2817,3381.5,3168.5,25625.4
Théâtre des Variétés,2969.5,2371,1932,1607,1535,2051.5,2286.5,14752.5
Gymnase,1664,1579.75,1172.75,1269.25,1042.5,1220.25,1472,9420.5
Palais-Royal,3510.85,3507.75,3505.25,3527.25,3504.25,3418.75,3456.95,24431.05
Porte Saint-Martin,2542.75,2119.5,1267.25,1347,1198.5,1296.5,1311.5,11083
Gaîté,3116.5,2256,2068.25,1922.5,1822.75,1600.75,1977.75,14764.5
Ambigu-Comique,3008,2420.5,2244,2208,1706,2035,1957.5,15579
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1655.55,523.6,925.15,409.35,324.4,1662.85,490.65,5991.55
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,34491.7,44607.77,34088.1,33263.56,30390.4,31700.99,34500.9,243043.42
