Théâtres,1864-01-17,1864-01-18,1864-01-19,1864-01-20,1864-01-21,1864-01-22,1864-01-23,17 - 23 jan.
Opéra,5008.95,8425.98,,7522.98,,5860.44,,26818.35
Théâtre Français,2680.3,577.3,1344.7,1452.2,1310.7,2895.8,1076.6,11337.6
Opéra-Comique,4535,1410,6397,1741,5714.5,2086.75,6110.5,27994.75
Théâtre des Italiens,,,,,,,,
Odéon,990.25,601.25,507,507,364.5,989.5,442.25,4401.75
Théâtre-Lyrique,2291,5014.5,3080,5023,3821,6274.5,3814.5,29318.5
Vaudeville,1671,958.5,1034.5,728.5,762,1044,1199,7397.5
Théâtre des Variétés,3113.5,1975.5,1475.5,1769,1716.5,2251.5,1920,14221.5
Gymnase,3570,2303.75,2148.75,2181.25,2262.25,2214.5,2423.75,17104.25
Palais-Royal,3033,2006,2014.75,2020,2035.25,3218.25,,14327.25
Porte Saint-Martin,3622.75,1996.75,2097.5,2009.25,1996.75,,2508.5,14231.5
Gaîté,3786.25,2688.75,2148.75,2168.75,2401.25,2678.25,3169.25,19041.25
Ambigu-Comique,2505,1612.25,1420.25,1503.25,1907.75,1947.75,,10896.25
Théâtre Impérial du Cirque,7614.25,5117.75,1302.5,5802,5909,6103.75,5852.25,37701.5
Folies-Dramatiques,1676.85,861.85,,697.95,2809.95,,,6046.6
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,46098.1,35550.13,24971.2,35126.13,33011.4,37564.99,28516.6,240838.55
