Théâtres,1864-02-21,1864-02-22,1864-02-23,1864-02-24,1864-02-25,1864-02-26,1864-02-27,21 - 27 fév.
Opéra,5669.37,7296.09,,7552.05,,9441.19,,29958.7
Théâtre Français,4422.3,2872.8,1666.6,2018.1,1917.3,3866.3,1946.5,18709.9
Opéra-Comique,3864,2646,3023,3198.25,2196,2902.225,,17829.475
Théâtre des Italiens,,,,,,,,
Odéon,1737.5,689.5,,726.5,728.25,587.5,2843.85,7313.1
Théâtre-Lyrique,5521,3422,1334,3771.5,4715,3623,5025,27411.5
Vaudeville,1166.5,548,990.5,1478,1633,2158.5,2196,10170.5
Théâtre des Variétés,1862.5,1101,1.163.50,1005,680,1053,1175.5,6877
Gymnase,3150,2167,2231.25,2238.5,2185.75,2079.25,2167.75,16219.5
Palais-Royal,2816.25,1842.2,2564.25,3120.75,3112,3333.25,3521.75,20310.45
Porte Saint-Martin,4645.25,3436,3537.75,3082,2425.75,4012.75,3228.75,24368.25
Gaîté,5702.75,5203.35,5271,5032.25,5165.35,4805.5,4528.25,35708.45
Ambigu-Comique,3632.25,2235.25,,2001.25,1507.5,1519.25,1507.25,12402.75
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1987.9,784.25,652.41,,1476.55,1078,1104.55,7083.66
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,46177.57,34243.44,21270.76,35224.15,27742.45,40459.715,29245.15,234363.235
