Théâtres,1864-05-08,1864-05-09,1864-05-10,1864-05-11,1864-05-12,1864-05-13,1864-05-14,8 - 14  mai
Opéra,,8199.14,,8404.15,,7164.37,,23767.66
Théâtre Français,3199.7,4531.9,3166.3,4592.5,2960.5,4581.6,2126,25158.5
Opéra-Comique,4086,1629.25,4863.5,1725.5,4428,2446.5,3259.5,22438.25
Théâtre des Italiens,,,,,,,,
Odéon,2761,3507.25,3698,3380.25,3218.25,373.75,3267.25,20205.75
Théâtre-Lyrique,2003,3721.5,1608,3467,1710.5,3009,1358.5,16877.5
Vaudeville,1101,1475,1429,1118,1110,1179,973.5,8385.5
Théâtre des Variétés,2239.5,2008,2097.5,1445,1674,1437,1021.5,11922.5
Gymnase,2100,1927.5,2233,1984.5,2204.5,1624.5,1138.75,13212.75
Palais-Royal,2630,3051,2704.95,2612,2204.65,2454.9,2222,17879.5
Porte Saint-Martin,2813.5,1914,2260.25,1658.25,1621,1258.75,1352.5,12878.25
Gaîté,1923.5,1359.75,1401.75,1401.25,1114,1238.75,965.75,9404.75
Ambigu-Comique,1305.75,903.75,1002,1008,708.5,807,619,6354
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,,553.8,664.65,306.3,516.3,334,,2375.05
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,26162.95,34781.84,27128.9,33102.7,23470.2,27909.12,18304.25,190859.96
