Théâtres,1864-01-10,1864-01-11,1864-01-12,1864-01-13,1864-01-14,1864-01-15,1864-01-16,10 - 16 jan.
Opéra,3792.5,9845.64,,9144.4,,9970.84,,32753.38
Théâtre Français,4042.9,1263.6,1767.7,1597.3,934.7,3623.2,1854.5,15083.9
Opéra-Comique,5041,3202.5,4170.5,2666,5328.5,2688,1256.25,24352.75
Théâtre des Italiens,,,,,,,,
Odéon,1357.5,356.5,268.75,461.5,498,708.25,727,4377.5
Théâtre-Lyrique,2003,4777.5,4283.5,4851,4425.5,6044.5,4137,30522
Vaudeville,2696,,1645.5,1634.5,1239.5,1270.5,1362.5,9848.5
Théâtre des Variétés,3323,2505,2345,2050.5,2134.5,2325,2604,17287
Gymnase,2472.5,2474.25,2285.5,2476,2711.25,2703,2664.5,17787
Palais-Royal,3111.75,2215.25,2205.25,2350.25,2103.5,2110,2319.2,16415.2
Porte Saint-Martin,4288.5,2906.75,2747.25,2599.25,2768.1,2519.75,2145.5,19975.1
Gaîté,3246,2611.75,2803.5,2941.25,2928,2975.5,3329,20835
Ambigu-Comique,2902,2214.5,2304,2207.75,2002.25,1863.5,1616,15110
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2072.4,1207.65,804.9,854.4,,832.6,659.75,6431.7
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,1897.5,1475.5,,,,,,3373
Total,42246.55,37056.39,27631.35,35834.1,27073.8,39634.64,24675.2,234152.03
