Théâtres,1864-04-03,1864-04-04,1864-04-05,1864-04-06,1864-04-07,1864-04-08,1864-04-09,3 - 9 avr.
Opéra,6264.12,8281.12,,5880.98,,8263.95,,28690.17
Théâtre Français,3516.2,3803.9,3629.1,3683.9,3733.3,3431.2,3911,25708.6
Opéra-Comique,6194.5,2223,6104.75,2454,5776,3043,5993,31788.25
Théâtre des Italiens,,,,,,,,
Odéon,5277.75,5105,5090.5,5061.75,4967.5,4879.5,4931.25,35313.25
Théâtre-Lyrique,2827,1694,931.5,2003.5,5479,2051,,14986
Vaudeville,1703.5,902,729.5,,,738,1688,5761
Théâtre des Variétés,3067,2150.5,2011,1927,1917.5,2120,2452.5,15645.5
Gymnase,2638.5,1748,1589.25,1987.5,1973,1800.25,1529.5,13266
Palais-Royal,3759.75,3707.25,3617.25,3637.75,3576.95,3609.25,3650.25,25558.45
Porte Saint-Martin,5045.75,2904,2560.75,2900.5,2120.75,2156.5,1634.5,19322.75
Gaîté,4321,9449.75,2319,2422.75,2771,2221.75,1901,25406.25
Ambigu-Comique,1819.25,814.75,,1642.75,2025.75,2114.75,2024,10441.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1648.5,679,624.65,663.45,,551.75,1320.05,5487.4
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,48082.82,43462.27,29207.25,34265.83,34340.75,36980.9,31035.05,257374.87
