Théâtres,1864-10-09,1864-10-10,1864-10-11,1864-10-12,1864-10-13,1864-10-14,1864-10-15,9 - 15 oct.
Opéra,6089.63,4765.88,,10177.48,,10128.3,,31161.29
Théâtre Français,2614.6,2371.7,2841.8,1866.8,2036.8,2656.4,2349.5,16737.6
Opéra-Comique,5503,2971,3163.75,2910.5,3041,2992.75,3904,24486
Théâtre des Italiens,,,,,,,,
Odéon,1562.75,426.5,664.75,820.5,638,3180.75,467.5,7760.75
Théâtre-Lyrique,4055.5,4705.5,2161,4008.5,1864,4414.5,2010,23219
Vaudeville,2504,1449,,,,,,3953
Théâtre des Variétés,3467,2742,2511,2804.5,2661.5,2544.5,2543,19273.5
Gymnase,2002.25,1044.75,1029.75,1287.75,1151.5,1327.5,831,8674.5
Palais-Royal,2512.75,1309,1414,1009,1209.25,1223.75,1554.9,10232.65
Porte Saint-Martin,3609.25,2512,2760,2739.5,2089.5,1726.5,1663.75,17100.5
Gaîté,,,,,,,,
Ambigu-Comique,3205.5,2118.25,1947.5,1705.75,1506.65,1603,1303.75,13390.4
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2282.25,1136.25,1133.85,992.7,931.5,853.4,807.55,8137.5
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,39408.48,27551.83,19627.4,30322.98,17129.7,32651.35,17434.95,184126.69
