Théâtres,1864-08-28,1864-08-29,1864-08-30,1864-08-31,1864-09-01,1864-09-02,1864-09-03,28 - 31 août,1 - 3 sept.
Opéra,,9474.91,,7273.08,,9032.53,,16747.99,9032.53
Théâtre Français,1092.7,1291,1453,1444,1580.5,1534.2,606.8,5280.7,3721.5
Opéra-Comique,,,,,6419.5,4325.5,3849.5,,14594.5
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,1274,477.75,470.25,,2222
Théâtre-Lyrique,,,,,,,2736.5,,2736.5
Vaudeville,1091,,1096,654,974,744.5,690,2841,2408.5
Théâtre des Variétés,3624,3560.5,3485,3518,3528.5,3329.5,3527,14187.5,10385
Gymnase,2456,1916.5,1723.25,1832,1565.75,1590.5,1279,7927.75,4435.25
Palais-Royal,1741.5,1650.7,1310.4,1076.5,1255.4,1114.7,1265.9,5779.1,3636
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,3354.25,2682.25,2077.5,2003.5,,2080.75,2008.25,10117.5,4089
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,2044.7,1173.75,1072.75,819.4,1238.5,1298.65,1085.6,5110.6,3622.75
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
,,,,,,,,,
Lazary,,,,,,,,,
Funambules,,,,,,,,,
Bouffes  Parisiens,,,,,,,,,
Total,15404.15,21749.61,12217.9,18620.48,17836.15,25528.58,17518.8,67992.14,60883.53
