Théâtres,1864-08-07,1864-08-08,1864-08-09,1864-08-10,1864-08-11,1864-08-12,1864-08-13,7 - 13 août
Opéra,,6020.32,,8072.68,,,,14093
Théâtre Français,790.9,997.6,791.6,1311.6,1418,1281.6,1912.9,8504.2
Opéra-Comique,,,,,,,,
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,423,531.5,626,552.5,596,872,3601
Théâtre des Variétés,,,,1288,2544.5,3044,3241,10117.5
Gymnase,1387.25,1555,1861.25,1726.75,2468.75,2209.6,1824.25,13032.85
Palais-Royal,703.5,602.2,822.9,908.9,1416.4,1102.95,914.9,6471.75
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,800,468.75,470.25,514,600.25,579.75,,3433
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,350.7,220.9,255.61,341.25,386.45,,362.95,1917.86
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,4032.35,10287.77,4733.11,14789.18,9386.85,8813.9,9128,61171.16
