Théâtres,1864-07-03,1864-07-04,1864-07-05,1864-07-06,1864-07-07,1864-07-08,1864-07-09,3 - 9 juil.
Opéra,,6453.3,,7068.54,,8519.5,,22041.34
Théâtre Français,2207.6,1013.1,2406.5,1744.1,2498.5,2880.8,1990.2,14740.8
Opéra-Comique,,,,,,,,
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,803,486.5,396,350,463.5,291,940,3730
Théâtre des Variétés,2315.5,1060,1093.5,1132,1355.5,1150.5,1724.5,9831.5
Gymnase,1669.25,637.75,700.25,1305,1400,,1636.5,7348.75
Palais-Royal,2256.95,1634.45,1512.2,590.75,1034.9,,1113.25,8142.5
Porte Saint-Martin,3391,1434.5,1943.75,1314,1686,1549,1669.25,12987.5
Gaîté,,,,,,,,0
Ambigu-Comique,2544.25,1508.25,1204.5,1319.75,1309,1234.5,1275,10395.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2031.65,829.25,959.85,933.85,,667.75,806.2,6228.55
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,17219.2,15057.1,10216.55,15757.99,9747.4,16293.05,11154.9,95446.19
