Théâtres,1864-05-01,1864-05-02,1864-05-03,1864-05-04,1864-05-05,1864-05-06,1864-05-07,1 - 7 mai
Opéra,,7700.33,,,,8638.75,,16339.08
Théâtre Français,3385.9,2137.8,1541.1,2604.6,4431,1684.6,4189.7,19974.7
Opéra-Comique,4150,3063.5,5068,3280.5,5555,1974,3576,26667
Théâtre des Italiens,,,,,,,,
Odéon,3811.25,3683.25,4146,3830,4504.25,387.25,4065,24427
Théâtre-Lyrique,1808,520.5,2601.5,1458.5,4468.5,1607,3901.5,16365.5
Vaudeville,463.5,1731,1652.5,1406.5,2320,1537.5,1152,10263
Théâtre des Variétés,2068.5,2058,2491,2077.5,2108,1184.5,1229.5,13217
Gymnase,1415,2702.25,2744.25,"2,907,25",3291,2549.75,1939.25,14641.5
Palais-Royal,1711.25,3204.75,3110.5,3103.75,3410.25,2704.95,2852.45,20097.9
Porte Saint-Martin,3215.25,2266.5,2259.5,2061.75,3242.75,1609,1349.25,16004
Gaîté,2178.25,1689.75,1404,1472,2715.75,1184.25,1009.5,11653.5
Ambigu-Comique,1706.25,1162,1142.25,1107.5,1904,1006,507.5,8535.5
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,1164.5,724.25,599.85,981.4,1489,436.85,359.4,5755.25
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,27077.65,32643.88,28760.45,23384,39439.5,26504.4,26131.05,203940.93
