Théâtres,1864-06-19,1864-06-20,1864-06-21,1864-06-22,1864-06-23,1864-06-24,1864-06-25,19 - 25 juin
Opéra,,7570.81,,7283.5,,6856.2,,21710.51
Théâtre Français,1829.7,1052.69,2061.4,738.6,2390.5,1865,2843,12780.89
Opéra-Comique,3262,1358.5,1687,1465,2483.5,1919.5,2863.25,15038.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,0
Théâtre-Lyrique,3461.5,1759.5,3153.5,1679,3373,1875,4881.5,20183
Vaudeville,574.5,297,210,200,467,282.5,351,2382
Théâtre des Variétés,1753.5,1047,851,798.5,1851,840.5,1124.5,8266
Gymnase,837.75,470.5,464,256.25,648.75,666,751.75,4095
Palais-Royal,1610.25,920.25,915.45,1004.75,1417.75,1225.5,1310.75,8404.7
Porte Saint-Martin,1290.75,1056.75,962.25,1113.25,1250,1140.75,982.5,7796.25
Gaîté,2175.25,1032.5,826.25,1052,1463.25,1103.5,850.5,8503.25
Ambigu-Comique,2433,708.5,781.5,,,,1555.25,5478.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1529.05,697.5,766,731.3,889.1,837.4,890,6340.35
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,20757.25,17971.5,12678.35,16322.15,16233.85,18611.85,18404,120978.95
