Théâtres,1864-10-02,1864-10-03,1864-10-04,1864-10-05,1864-10-06,1864-10-07,1864-10-08,2 - 8 oct.
Opéra,,7349.29,,7928.48,,9774,,25051.77
Théâtre Français,3429.5,2200.5,2590.4,2170.6,2219.5,2629.2,1806,17045.7
Opéra-Comique,5179.5,4985,3172.25,2963,2796.5,3309,2451,24856.25
Théâtre des Italiens,,,,,,,,
Odéon,1642.75,711,636,422.5,533.75,375.75,535.25,4857
Théâtre-Lyrique,4296,2426,4622,2268.5,3859.5,2426.5,4338,24236.5
Vaudeville,2306,1726.5,1791,1645,1639.5,1474.5,1416,11998.5
Théâtre des Variétés,3362,2746.5,2780.5,2836.5,2504.5,2638,2800.5,19668.5
Gymnase,2503,1475.25,1280.75,1058.75,1090,1310,1070,9787.75
Palais-Royal,2103.5,1616.75,1367.75,1252.75,1153.15,1370.5,1405.7,10270.1
Porte Saint-Martin,4001.5,2093,1827.75,1904.75,1892.25,1747.25,1794.5,15261
Gaîté,,,,,,,,
Ambigu-Comique,3403.75,1820,1711.25,1608.5,1301.5,1304.75,1210.75,12360.5
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2270.15,1267.05,956.45,978.75,761.9,1146.75,682.75,8063.8
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,34497.65,30416.84,22736.1,27038.08,19752.05,29506.2,19510.45,183457.37
