Théâtres,1864-02-07,1864-02-08,1864-02-09,1864-02-10,1864-02-11,1864-02-12,1864-02-13,7 - 13 fév.
Opéra,6909.35,10546.59,8048.8,7328.39,,7852.85,,40685.98
Théâtre Français,4995.8,3331.9,6085.9,936.4,2171.5,2138,1712.4,21371.9
Opéra-Comique,6676.5,6789,7234.5,2887.5,3804.5,1653.5,3862.5,32908
Théâtre des Italiens,,,,,,,,
Odéon,2173.5,2412.75,2933.25,625,893.5,397.5,935.5,10371
Théâtre-Lyrique,6122,6381,6402.5,1017,1584,3008,5495,30009.5
Vaudeville,2253.5,2258,3129,781.5,942.5,801,911,11076.5
Théâtre des Variétés,2846.5,2837.5,3734,1444,1410,1538,1925,15735
Gymnase,3209,3224.25,3657,1506.75,1760.25,1529.5,1979.75,16866.5
Palais-Royal,3363,3501.75,3835.75,2152.75,2558.45,2374,2757.25,20542.95
Porte Saint-Martin,3451.75,3054,4305.75,1890,2160.75,1242.5,4691.75,20796.5
Gaîté,5757.75,5702,5641.25,5302.25,5414.85,5175.25,4952.25,37945.6
Ambigu-Comique,2492.5,2287.5,2693.25,989,,,1667.25,10129.5
Théâtre Impérial du Cirque,3534.75,,,,,,,
Folies-Dramatiques,2491.7,1913.25,2517.85,1058.15,1151.05,657.1,867.85,10656.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,56277.6,54239.49,60218.8,27918.69,23851.35,28367.2,31757.5,279095.88
