Théâtres,1864-10-30,1864-10-31,1864-11-01,1864-11-02,1864-11-03,1864-11-04,1864-11-05,30 - 31 oct.,1 - 5 nov.
Opéra,6291.61,10942.17,,6204.87,,11021.25,,17233.78,17226.12
Théâtre Français,4470.5,3929.5,5751,1358.5,4835,1991.5,5156.5,8400,19092.5
Opéra-Comique,5587.5,3348,6384,1510,2398.5,2393,2446,8935.5,15131.5
Théâtre des Italiens,,,,,,,,,
Odéon,2928.75,1547.5,2959.25,229.25,1432.25,1309.75,1571.5,4476.25,7502
Théâtre-Lyrique,3185,4022.5,5529,1003.5,3397,5121,3609.5,7207.5,18660
Vaudeville,,,,,,,,,
Théâtre des Variétés,3210,1952.5,3126,1278,1831,1776,2024,5162.5,10035
Gymnase,3709.5,2625.5,3709.5,1934,2583.5,2939,2742,6335,13908
Palais-Royal,2652,3121.05,3795.25,2506,2632.5,2710.75,2913,5773.05,14557.5
Porte Saint-Martin,5789.25,3867,5544.75,2050,3718.25,3381.5,3161.75,9656.25,17856.25
Gaîté,,,,,,,,,
Ambigu-Comique,3012,1604,2809,703.5,718.75,990,697.5,4616,5918.75
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,2401.9,1052.85,2406.85,571.3,714.45,735.3,648.55,3454.75,5076.45
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
,,,,,,,,,
Lazary,,,,,,,,,
Funambules,,,,,,,,,
Bouffes  Parisiens,,,,,,,,,
Total,43238.01,38012.57,42014.6,19348.92,24261.2,34369.05,24970.3,81250.58,144964.07
