Théâtres,1864-11-06,1864-11-07,1864-11-08,1864-11-09,1864-11-10,1864-11-11,1864-11-12,6 - 12 nov.
Opéra,4231.62,10432.47,,19471.87,,10654.75,,44790.71
Théâtre Français,4443,5041.5,1984,5153.5,5029,1815,2191,25657
Opéra-Comique,6188.5,2114,2799,1511.75,2403.5,3541.5,2871,21429.25
Théâtre des Italiens,,,,,,,,
Odéon,2730.5,1248,1385.5,1137.75,1406.25,298,1194.25,9400.25
Théâtre-Lyrique,3419.5,2671,4300,3661.5,3784,5006,4028,26870
Vaudeville,,,,,,,,
Théâtre des Variétés,3033,1588.5,1711.5,1808,1609.5,1556.59,1769,13076.09
Gymnase,3654.75,2623,2774.25,2653.5,2502.25,3057.5,2419,19684.25
Palais-Royal,3721.75,1811.75,2545,2736,2615,2739.25,2533,18701.75
Porte Saint-Martin,5217.5,3413.5,3151.5,3583,3228,3032,2762,24387.5
Gaîté,,,,,,,,
Ambigu-Comique,2224,965.75,902.25,,,1861.25,1357,7310.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2321.35,746.5,627.05,784.85,662.75,785.85,1322.6,7250.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,41185.47,32655.97,22180.05,42501.72,23240.25,34347.69,22446.85,218558
