Théâtres,1864-06-12,1864-06-13,1864-06-14,1864-06-15,1864-06-16,1864-06-17,1864-06-18,12 - 18 juin
Opéra,,8403.31,,8416,,7823.6,,24642.91
Théâtre Français,1319.2,1592.9,3249.9,1711.3,3285.5,1334,3014.5,15507.3
Opéra-Comique,3047,3218,1867,3484,2194,2401,2346.5,18557.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,0
Théâtre-Lyrique,1180.5,,2313,4177,2587.5,4121,3237.5,17616.5
Vaudeville,424,679,,977,1461,1205,5955,10701
Théâtre des Variétés,1517,,1289,1675,1524.5,1073,908.5,7987
Gymnase,831.75,1679,816,1168.25,874.25,877,766,7012.25
Palais-Royal,1426.25,1839.5,1204.95,1818.5,1805.75,1339.75,4751.5,14186.2
Porte Saint-Martin,2020,2118.25,1221.25,1388,1725.25,1365,1226.5,11064.25
Gaîté,2155.15,2063.25,1171.75,1742,1584.25,1255.4,1368,11339.8
Ambigu-Comique,1412.5,1405.25,782.5,1242.25,881.75,757.25,645.25,7126.75
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1210.25,1051.25,745.6,1013.75,1085.3,940.2,854.8,6901.15
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,16543.6,24049.71,14660.95,28813.05,19009.05,24492.2,25074.05,152642.61
