Théâtres,1864-06-05,1864-06-06,1864-06-07,1864-06-08,1864-06-09,1864-06-10,1864-06-11,5 - 11 juin
Opéra,,6644.31,,7262.69,,6178.08,,20085.08
Théâtre Français,1176,1142.9,4289.4,2032.5,3567.3,1959,3459.2,17626.3
Opéra-Comique,2132,2143.5,3562,3595.5,2587,3493,2030,19543
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,0
Théâtre-Lyrique,780,916.5,1507,1877,5006,1559.5,4606.5,16252.5
Vaudeville,438.5,455,829,583.5,659,651.5,556,4172.5
Théâtre des Variétés,644,557.5,,1048.5,3746,1257.5,959.5,8213
Gymnase,435,,1184.75,1287,1143.25,1164.75,1046.5,6261.25
Palais-Royal,908,910.25,2121.75,1545,1716,1222.5,1228,9651.5
Porte Saint-Martin,2437,1722,2456.75,2390.5,1666,1514.25,1488.5,13675
Gaîté,1981.25,1343.5,2467.5,2041.5,1710.25,1559.5,1030.75,12134.25
Ambigu-Comique,1414.5,908.25,1115,1026.5,1111.75,1004.25,707,7287.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1199.65,620.4,1233.3,941.95,1072.8,952,842.8,6862.9
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,13545.9,17364.11,20766.45,25632.14,23985.35,22515.83,17954.75,141764.53
