Théâtres,1864-03-06,1864-03-07,1864-03-08,1864-03-09,1864-03-10,1864-03-11,1864-03-12,6 - 12 mar.
Opéra,4009.04,7717.09,,7280.09,,8935.11,,27941.33
Théâtre Français,3844.7,4121.1,2187.4,3968.3,2247.8,4007.8,2831.5,23208.6
Opéra-Comique,4370,1943.5,3171,2145.25,2587,1805,2790,18811.75
Théâtre des Italiens,,,,,,,,
Odéon,4614.75,4837.25,4918.5,4958.5,5100.5,463.5,5097,29990
Théâtre-Lyrique,4613,3478.5,3148.5,2725,1115,3329.5,3074,21483.5
Vaudeville,2607,1482,1650.5,1307,1291,1639,1917.5,11894
Théâtre des Variétés,3437,2259,2325,2304.5,2374.5,2329.5,1379,16408.5
Gymnase,2554,2402.25,2702.5,3342.75,3528.5,3444,3566.5,21540.5
Palais-Royal,3700.25,3656.75,3602.5,3626.5,3605.75,3617.25,3713.25,25522.25
Porte Saint-Martin,4428.25,2591,2217.5,1995.25,1919,1943,2140,17234
Gaîté,5623,4207.5,4154.25,4304.75,4167.5,4028,3705,30190
Ambigu-Comique,2708.75,1179,1011.85,902.75,949,876,2009.25,9636.6
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2247.05,727.2,611.05,,628.35,1655.2,850.95,6719.8
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,48756.79,40602.14,31700.55,38860.64,29513.9,38072.86,33073.95,260580.83
