Théâtres,1864-09-18,1864-09-19,1864-09-20,1864-09-21,1864-09-22,1864-09-23,1864-09-24,18 - 24 sept.
Opéra,6790.21,6395.91,,7604.91,,8814.03,,29605.06
Théâtre Français,2671.3,1213,2319.3,2756,2115.4,1626.7,2632.2,15333.9
Opéra-Comique,5907,3830,3570.5,2876,3062,3934.5,2968.5,26148.5
Théâtre des Italiens,,,,,,,,
Odéon,2118.75,707.25,496.75,937,450.25,329.25,717,5756.25
Théâtre-Lyrique,3151,2569,5298.5,2646,5013.5,3006.5,5193.5,26878
Vaudeville,2200,1079.5,857.5,824,,,598,5559
Théâtre des Variétés,3962,3237.5,3008,3340.5,3120.99,2927.5,2107.5,21703.99
Gymnase,2508.74,1421,1109.25,1318.5,1350.5,1533,1012.75,10253.74
Palais-Royal,2709.5,1610.75,1069.2,1752.75,1305.75,1326.5,719.4,10493.85
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,3517.5,2089.5,1716.75,1602.75,1710.25,1803.25,1406.25,13846.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2365.95,1144.15,1187.55,,1165.15,998.15,943.2,7804.15
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,37901.95,25297.56,20633.3,25658.41,19293.79,26299.38,18298.3,173382.69
