Théâtres,1864-05-22,1864-05-23,1864-05-24,1864-05-25,1864-05-26,1864-05-27,1864-05-28,22 - 28  mai
Opéra,,6587.08,,8228.25,,8887.06,,23702.39
Théâtre Français,2113.3,4083.2,2272.5,3831.1,2329.9,3857.7,1726.7,20214.4
Opéra-Comique,2814,4039,3022.5,4104.5,2860.75,5612,3254,25706.75
Théâtre des Italiens,,,,,,,,
Odéon,988,2569,2982.25,2344.25,3324.25,2851.25,3041.25,18100.25
Théâtre-Lyrique,1518,3066,2004,1424.5,3130,1449,2423.1,15014.6
Vaudeville,766,855.5,943.5,761.5,1020.5,874,793,6014
Théâtre des Variétés,1089,1539,1203,807.5,1034.5,904.5,671,7248.5
Gymnase,1626.55,1007,1072.25,788.75,1115,1351.5,1182,8143.05
Palais-Royal,1844.5,2020.5,2009.2,1860.75,2010.5,2010.75,1822.5,13578.7
Porte Saint-Martin,1950.15,1202.25,13,13,2381,2142,2470.5,10171.9
Gaîté,2793.5,2475,2486,1972.5,2150.25,1858.5,1801.25,15537
Ambigu-Comique,1801.5,1306.5,1506.5,1107.5,1019.75,806.75,703.75,8252.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,1788.05,1070.2,617.05,1077.55,,607.9,5160.75
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,19304.5,32538.08,20584.9,27861.15,23453.95,32605.01,20496.95,176844.54
