Théâtres,1864-08-21,1864-08-22,1864-08-23,1864-08-24,1864-08-25,1864-08-26,1864-08-27,21 - 27 août
Opéra,,10397.41,,10484.08,,10089.53,,30971.02
Théâtre Français,2636,1310.7,2632.7,1524.1,1567.8,1729,2103.2,13503.5
Opéra-Comique,,,,,,,,
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,1411.5,1422,1480,969,1461,1036,1072.5,8852
Théâtre des Variétés,3678,3742,3839.5,3727,3967.5,3878,3731,26563
Gymnase,2905,3005,3170.25,2718.75,3001.5,2701,2382,19883.5
Palais-Royal,1522,2101.5,2250.5,1412,1942.75,1822.75,4340.5,15392
Porte Saint-Martin,1633,,,,,2191.75,1917.5,5742.25
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1105.5,,992.9,936.05,861.65,728.85,2190.15,6815.1
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,14891,21978.61,14365.85,21770.98,12802.2,24176.88,17736.85,127722.37
