Théâtres,1864-03-13,1864-03-14,1864-03-15,1864-03-16,1864-03-17,1864-03-18,1864-03-19,13 - 19 mar.
Opéra,6012.55,5875.09,,9593.95,,10166.61,,31648.2
Théâtre Français,2771.2,1807.1,3799.2,2638,3297,2119.3,3922.3,20354.1
Opéra-Comique,2814.5,1970.5,2566,1370,2504,1310.5,,12535.5
Théâtre des Italiens,,,,,,,,
Odéon,5315,5149.25,5037.75,5077.75,5127,275.5,5184.5,31166.75
Théâtre-Lyrique,1705,2740,,2284,,1357.5,623,8709.5
Vaudeville,2003.5,1269.5,1226.5,1206,956,910,1079.5,8651
Théâtre des Variétés,3426.5,2197.5,2451,2819.5,2342.5,2397,2236,17870
Gymnase,2551,3413.25,3000.5,3303.5,2838,2570.75,2348,20025
Palais-Royal,3810.25,3614.75,3650.25,3707.75,3720.25,3646.35,3671.25,25820.85
Porte Saint-Martin,2901.25,1586.25,1475.25,1541.5,1510.75,1420.5,1519.5,11955
Gaîté,5118,4009,4086,3712.75,3474.25,2764.75,3330.5,26495.25
Ambigu-Comique,2861,1701.75,1201.75,,1204,1015,1033.5,9017
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,1290.95,967.4,959,755.7,689.3,672.50,4662.35
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,41289.75,36624.89,29461.6,38213.7,27729.45,30643.06,24948.05,228910.5
