Théâtres,1864-10-16,1864-10-17,1864-10-18,1864-10-19,1864-10-20,1864-10-21,1864-10-22,16 - 22 oct.
Opéra,4913.62,10511.48,,10511.48,,10898.41,,36834.99
Théâtre Français,3465.6,1583.1,2329.4,2658.6,2043.1,2168.9,2380.4,16629.1
Opéra-Comique,6072,3976.25,3013,3481.5,2709.75,3120,3546,25918.5
Théâtre des Italiens,,,,,,,,
Odéon,1815,1614.75,1281.25,1545.5,1541,500.75,1419.5,9717.75
Théâtre-Lyrique,5242,1728.5,,,3315,1854.5,3076.5,15216.5
Vaudeville,,,,,,,,0
Théâtre des Variétés,3449.5,2659.5,2625.99,2167,2149.5,2214,2465.5,17730.99
Gymnase,1901.5,1567.25,2162,2263.75,2303.25,2703.5,2214.25,15115.5
Palais-Royal,3600.75,2841.25,2806.5,2934.45,3118.2,3073.45,3006.45,21381.05
Porte Saint-Martin,3554.5,,,2908.5,2795.75,3257.25,3400.25,15916.25
Gaîté,,,,,,,,0
Ambigu-Comique,3208.75,2009.25,2000.25,1608.35,1403.5,1309,1006.75,12545.85
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,978,1018.6,962.95,865.6,789.95,695.05,5310.15
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,37223.22,29469.33,17236.99,31042.08,22244.65,31889.71,23210.65,192316.63
