Théâtres,1864-10-23,1864-10-24,1864-10-25,1864-10-26,1864-10-27,1864-10-28,1864-10-29,23 - 29 oct.
Opéra,5279.1,10395.48,,10166.58,,10729.79,,36570.95
Théâtre Français,4918.7,2184.7,2829.9,1634,2652.5,1700.5,,15920.3
Opéra-Comique,6013.5,4070,3280.25,2287,4372,3084.75,3297,26404.5
Théâtre des Italiens,,,,,,,,
Odéon,2989,1762,1940.5,1338.25,1674.5,579.75,1585.75,11869.75
Théâtre-Lyrique,9782,3077,2921,3008.5,1949.5,4290,3028.5,28056.5
Vaudeville,,,,,,,,0
Théâtre des Variétés,3477.5,1959,2342.5,1674.5,2112,2020.5,2142,15728
Gymnase,3761,9016.25,9164,2946.5,3066.75,2973.75,3022.5,33950.75
Palais-Royal,9738.25,9011.25,3103,9040,3294.25,3205.75,,37392.5
Porte Saint-Martin,6162.75,3692.5,4000.25,9101.25,3478,4007.5,9422,39864.25
Gaîté,,,,,,,,0
Ambigu-Comique,3105.75,2521.25,1500.25,1008.75,1210.75,1106.75,939.25,11392.75
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2479.4,862,1001.85,595.8,918.45,992.7,822.4,7672.6
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,57706.95,48551.43,32083.5,42801.13,24728.7,34691.74,24259.4,264822.85
