Théâtres,1864-09-04,1864-09-05,1864-09-06,1864-09-07,1864-09-08,1864-09-09,1864-09-10,4 - 10  sept.
Opéra,,8745.41,,9156.92,,8283.53,,26185.86
Théâtre Français,3268.1,870.3,2031.2,782.9,1683.3,547.8,1237.3,10420.9
Opéra-Comique,6679.5,3235,4575.5,3438.5,3505.5,2313.5,2441,26188.5
Théâtre des Italiens,,,,,,,,
Odéon,1465,495,463,506,535,297.25,420.25,4181.5
Théâtre-Lyrique,3087.5,2387,3856,2036,3602.5,1929.5,2764,19662.5
Vaudeville,1490.5,705.5,711.5,594,587,538,489.5,5116
Théâtre des Variétés,4202,3251,3376.5,3520,3202,2733.5,2655,22940
Gymnase,3162.5,1707,1450.5,1520,1320.25,1172.5,1087.75,11420.5
Palais-Royal,2616.25,1123.5,1039.9,1313.9,1242.7,1642.95,1212.45,10191.65
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,3770.25,2106.5,2017.5,2011,3012,1811.25,1719,16447.5
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,835.6,835.6
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,29741.6,24626.21,19521.6,24879.22,18690.25,21269.78,14861.85,153590.51
