Théâtres,1864-07-17,1864-07-18,1864-07-19,1864-07-20,1864-07-21,1864-07-22,1864-07-23,17 - 23 juil.
Opéra,,5758.7,,7515.56,,6487.85,,19762.11
Théâtre Français,1654.6,1128,1205.1,1273.2,1243.9,1653,1143.1,9300.9
Opéra-Comique,,,,,,,,
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,1014.5,402,704,469,652.5,650.5,846,4738.5
Théâtre des Variétés,1108.5,604,643.5,500,937,803,871.5,5467.5
Gymnase,717.5,,,,,,,717.5
Palais-Royal,759.5,444.15,439.9,260,1215.25,711.45,1110.2,4940.45
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,1405.5,823,703.5,607.25,529.25,806,702.76,5577.26
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,747.3,362.4,,294.9,334.75,383.6,429.6,2552.55
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,7407.4,9522.25,3696,10919.91,4912.65,11495.4,5103.16,53056.77
