Théâtres,1864-01-03,1864-01-04,1864-01-05,1864-01-06,1864-01-07,1864-01-08,1864-01-09,3 - 9 jan.
Opéra,6016.53,9688.64,,8603.4,,9827.53,,34136.1
Théâtre Français,3554.1,1513.7,2002.5,1372.1,1404.6,1279.5,2015.4,13141.9
Opéra-Comique,5342,2719,2669,1518.5,2688,1443.75,,16380.25
Théâtre des Italiens,,,,,,,,
Odéon,1603.5,677.25,,818.25,291.75,318.75,575.75,4285.25
Théâtre-Lyrique,"3,209,00",5604.5,4447,4024.5,3117.5,5712.5,5004.5,27910.5
Vaudeville,2936.5,,1004,824,1369,,,6133.5
Théâtre des Variétés,3706,2452,2703,2226.5,2058,2653,2515.5,18314
Gymnase,2878.25,2146.5,2112.75,1831.25,2220,2375.25,2819,16383
Palais-Royal,3516.75,2714.75,2610,1805.5,2232.5,2406,2520.25,17805.75
Porte Saint-Martin,4075.75,3156,2581.25,2070,2071.5,2394.5,2634.75,18983.75
Gaîté,4907,3538,2617,2471,2007,1832.75,2301.5,19674.25
Ambigu-Comique,3667,2506.5,2006,1528,1618.75,2037,1507.25,14870.5
Théâtre Impérial du Cirque,5305.25,3003,3073.75,2773.75,2104.75,2033.5,,18294
Folies-Dramatiques,2608.7,1772.25,1285.55,956.2,868.2,994.4,,8485.3
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes Parisiens,,,370,1817,1555.5,1712.5,1905,7360
Total,50117.33,41492.09,29481.8,34639.95,25607.05,37020.93,23798.9,242158.05
