Théâtres,1865-11-26,1865-11-27,1865-11-28,1865-11-29,1865-11-30,1865-12-01,1865-12-02,26 - 30 nov.,1 - 2 déc.
Opéra,4561.37,8912.6,,10249.5,,8674.39,,23723.47,8674.39
Théâtre Français,4425,1937.5,2939.5,3173,2204.5,1777.5,1985.5,14679.5,3763
Opéra-Comique,5901,2600,3838,2776.5,3387.5,2111,4064.5,18503,6175.5
Théâtre des Italiens,,2374,4961,,4400,,6763,11735,6763
Odéon,2228,930.5,902,757.5,954.5,297.25,1247.25,5772.5,1544.5
Théâtre-Lyrique,5293.6,1336.1,3449.6,1103.6,3828.6,1423.1,5328.6,15011.5,6751.7
Vaudeville,,,,,,,,,
Théâtre des Variétés,4658.5,3949,4035,3810.5,4036,4227.5,4271,20489,8498.5
Gymnase,2930.75,1411.75,1242.5,966.75,6393.5,1537,1847.75,12945.25,3384.75
Palais-Royal,3128.25,1866.75,2164,1721.25,2116.75,2319.5,3003.75,10997,5323.25
Porte Saint-Martin,5154.75,3816.5,5000,4248.5,4307.25,4319.25,4382.5,22527,8701.75
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,38281.22,29134.7,28531.6,28807.1,31628.6,26686.49,32893.85,156383.22,59580.34
