Théâtres,1864-09-11,1864-09-12,1864-09-13,1864-09-14,1864-09-15,1864-09-16,1864-09-17,11 - 17 sept.
Opéra,,8448.91,,8464.42,,8297.03,,25210.36
Théâtre Français,2491.4,1070.7,1936.8,1183.6,1413.5,1078.8,1192.5,10367.3
Opéra-Comique,5381,2644.25,3375,3244.5,2702.5,3631.5,2927,23905.75
Théâtre des Italiens,,,,,,,,
Odéon,1665.5,512.5,356.5,408.5,228.5,288.25,401.25,3861
Théâtre-Lyrique,2664,2364,3559,2186,4912,2445.5,5005.5,23136
Vaudeville,966,450,507,476,360.5,695.5,519,3974
Théâtre des Variétés,3862.5,2961.5,2791.5,2882.5,2844.5,3376,3016,21734.5
Gymnase,2173.5,1448.25,1255.75,1268.75,1585.25,1067.75,960.75,9760
Palais-Royal,2534.25,1130,1353,1462.5,1416.4,1764.4,1113,10773.55
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,3509.75,2106,1810,1731.5,1406.75,2010,1503.75,14077.75
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2318.85,1291.95,1164.15,,,1187.2,975.55,6937.7
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,27566.75,24428.06,18108.7,23308.27,16869.9,25841.93,17614.3,153737.91
