Théâtres,1864-02-28,1864-02-29,1864-03-01,1864-03-02,1864-03-03,1864-03-04,1864-03-05,28 - 29 fév.,1 - 5 mar.
Opéra,5849.54,7250.29,,8585.95,,7239.19,,13099.83,15825.14
Théâtre Français,3582.4,4064.6,2834.1,4189.6,4391.5,4275.1,2847.3,7647,18537.6
Opéra-Comique,5190.5,2303.75,3572.5,2017.5,4805,2348.5,3175.5,7494.25,15919
Théâtre des Italiens,,,,,,,,,
Odéon,1624.25,717,1155.5,2542,4310.75,365.75,4848.75,2341.25,13222.75
Théâtre-Lyrique,4280.5,3396.5,3284,3300,4724,3763,4404,7677,19475
Vaudeville,3044,1681,2402.5,1913,3015,1866.5,2264.5,4725,11461.5
Théâtre des Variétés,2225.5,827.5,1337,1292,3423,2026.5,2278.5,3053,10357
Gymnase,2927.5,1739.5,1843,1704.25,2401.25,13,1800,4667,7761.5
Palais-Royal,3802.75,3612.75,3553.25,3538.25,3805.75,3633.25,3663.25,7415.5,18193.75
Porte Saint-Martin,5201.25,2523,3027.75,2598,4475,2702.5,2805,7724.25,15608.25
Gaîté,5726.75,4676.25,4880,4256,9702.25,4528.5,4732.75,10403,28099.5
Ambigu-Comique,3069,1631.75,1401.5,1217.25,2324.25,1369,1068,4700.75,7380
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,2512.95,970.4,,692.35,2085.15,836.6,730.4,3483.35,4344.5
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
,,,,,,,,,
Lazary,,,,,,,,,
Funambules,,,,,,,,,
Bouffes  Parisiens,,,,,,,,,
Total,49036.89,35394.29,29291.1,37846.15,49462.9,34967.39,34617.95,84431.18,186185.49
