Théâtres,1865-11-19,1865-11-20,1865-11-21,1865-11-22,1865-11-23,1865-11-24,1865-11-25,19 - 25 nov.
Opéra,4837.54,10105.1,,8993.01,,10753.86,,34689.51
Théâtre Français,4615,1706,2494,2810.5,2482.5,1556.5,3023,18687.5
Opéra-Comique,4611,1859.5,2233.75,2910.75,2361,3811.5,2329.75,20117.25
Théâtre des Italiens,,2404,4819,,3688,,5738,16649
Odéon,1810,688,606,637,836,217.5,680.75,5475.25
Théâtre-Lyrique,4023.6,1522.6,3713.1,413,4063.1,1257.6,5484.1,20477.1
Vaudeville,,,,,,,,
Théâtre des Variétés,2930,1501,1120.5,1175,1197.5,,4511,12435
Gymnase,2477.75,1073.5,1437,1361.5,1713.5,1450.25,1555,11068.5
Palais-Royal,3336.75,1624.75,2142.25,1626,,2208.25,2452.25,13390.25
Porte Saint-Martin,5145.5,3868.25,3621.75,3732,4017,4131.5,5168.5,29684.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,33787.14,26352.7,22187.35,23658.76,20358.6,25386.96,30942.35,182673.86
