An 1864,,,,,,,
Mois,Semaines,,,,,,Total mois
Janvier,121849.28,242158.05,234152.03,240838.55,277306.88,52177.06,1168481.85
Février,200259.73,279095.88,230526.52,234363.235,84431.18,,1028676.545
Mars,186185.49,260580.83,228910.5,160065.71,217781.53,,1053524.06
Avril,82568.8,257374.87,243043.42,227343.52,196337.7,,1006668.31
Mai,203940.93,190859.96,134364.01,176844.54,73545.33,,779554.77
Juin,97971.89,141764.53,152642.61,120978.95,113011.25,,626369.23
Juillet,26418.4,95446.19,58524.54,53056.77,66044.061,4685,304174.961
Août,54312.27,61171.16,84239.31,127722.37,67992.14,,395437.25
Septembre,60883.53,153590.51,153737.91,173382.69,152076.22,,693670.86
Octobre,30264.15,183457.37,184126.69,192316.63,264822.85,81250.58,936238.27
Novembre,144964.07,218558,228779.28,221190.23,125653.18,,939144.76
Décembre,78341.48,188429.88,200323.9,209245.442,200322.81,,876663.512
Total an,1287960.02,2272487.23,2133370.72,2137348.637,1839325.131,138112.64,9808604.378
