Théâtres,1864-04-17,1864-04-18,1864-04-19,1864-04-20,1864-04-21,1864-04-22,1864-04-23,17 - 23 avr.
Opéra,4639.62,7460.33,,6934.22,,6469.75,,25503.92
Théâtre Français,9851.7,2367.5,2760.1,2793.7,2465,3270.5,2968.9,26477.4
Opéra-Comique,3709.5,3935,5095.5,1834,4430,2873.5,4381,26258.5
Théâtre des Italiens,,,,,,,,
Odéon,4958,4817.5,4925.75,4709.25,4513.25,610.5,4716.5,29250.75
Théâtre-Lyrique,2946,1852,3087,1661.5,2422,2296,3001,17265.5
Vaudeville,982.5,3225.5,2638.5,2488,2531,2198,2420,16483.5
Théâtre des Variétés,3107,2481,2166,1912,1831,1781,1555,14833
Gymnase,1806,1002,1004.75,890.5,979.25,1.026.75,1481,7163.5
Palais-Royal,3459,3530.25,3317.25,3254.95,3539.25,3104,3218.15,23422.85
Porte Saint-Martin,3004.75,1384.25,1909,1442.75,1763.25,2048.75,1869.5,13422.25
Gaîté,3074.9,2080.75,1701.25,1073.5,1509.75,1501.5,1.383.50,10941.65
Ambigu-Comique,3109.5,1703,1406.25,1717.75,1304,1504,1212,11956.5
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,1572.5,,383.75,425.9,1632.9,349.15,,4364.2
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,46220.97,35839.08,30395.1,31138.02,28920.65,28006.65,26823.05,227343.52
