An 1863 - Octobre,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,10247.35,29366.4,33156.84,30663.89,28941.38,,132375.86
Théâtre Français,3464.6,17760.75,18114.6,19324.7,18422.7,,77087.35
Opéra-Comique,10618.5,23551,19990.5,30458.5,21091,,105709.5
Théâtre des Italiens,,,,,,,
Odéon,914,6514,3632,4902.75,5931,,21893.75
Théâtre-Lyrique,12456.5,22500.5,19744,20463,16717.5,,91881.5
Vaudeville,0,2155.5,14481,12530,8071.5,,37238
Théâtre des Variétés,7720.5,17602,18835,14807.5,13008.5,,71973.5
Gymnase,15336.25,16134,12791.25,10701.25,19200.5,,74163.25
Palais-Royal,7355.7,18048.2,16950.85,15763.05,13923.95,,72041.75
Porte Saint-Martin,8733.5,15528.75,12027.75,11037.25,20766,,68093.25
Gaîté,16644.5,34500,28890,29213.75,21704,,130952.25
Ambigu-Comique,6256.5,13497.25,9775.5,9714.25,18302.75,,57546.25
Théâtre Impérial du Cirque,4744,50363,57225,29213.75,38155.75,,179701.5
Folies-Dramatiques,2425.75,7804.35,5625.2,7230.8,7836.25,,30922.35
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Total,106917.65,275325.7,271239.49,246024.44,252072.78,0,1151580.06
