Théâtres,1863-01-04,1863-01-05,1863-01-06,1863-01-07,1863-01-08,1863-01-09,1863-01-10,4 - 10 jan.
Opéra,,,,,,,,
Théâtre Français,3569.3,5665.2,1130.8,5549.3,5499.8,1750.9,5681.3,28846.6
Opéra-Comique,5808,4102.35,2746.5,4731,3279,5126.25,2892,28685.1
Théâtre des Italiens,3163,,10944.1,,7739.25,,8321.15,30167.5
Odéon,1346.5,732.75,475.25,535,333,298.75,385.75,4107
Théâtre-Lyrique,3943,4962,6592,1508.5,6645.5,2053,6808.5,32512.5
Vaudeville,1731.5,871.5,863.5,864.5,777.5,1075,1028.5,7212
Théâtre des Variétés,3180.5,2159.5,1895.5,1934.5,1745,2804.5,2066,15785.5
Gymnase,2780.75,2258.25,1867,1944.5,2110.75,2404.75,1974.75,15340.75
Palais-Royal,2687.25,2008.25,1802.25,2005.2,1620.25,2312,2107.25,14542.45
Porte Saint-Martin,5089.5,4213.5,3757.5,4301,4312.5,4362.75,3727.5,29764.25
Gaîté,4208.25,2090,1798.5,2089.75,1827,1634.5,1627.25,15275.25
Ambigu-Comique,3401.25,2218.5,1503.5,1804.5,1840,2026.25,1504.75,14298.75
Théâtre Impérial du Cirque,7318.5,5508.25,4269.25,4111,4703.25,3623.25,5669.25,35202.75
Folies-Dramatiques,,,,,,,,
Délassement Comiques,1514.5,1401,1228.5,1274.5,1030.5,1388,1252,9089
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1920.5,1154.5,1077.5,1232,1695.5,1597,1449.5,10126.5
Folies Nouvelles,,,,,,,,
Total,51662.3,39345.55,41951.65,33885.25,45158.8,32456.9,46495.45,290955.9
