Théâtres,1863-11-29,1863-11-30,1863-12-01,1863-12-02,1863-12-03,1863-12-04,1863-12-05,29 - 30 nov.,1 - 5 déc.
Opéra,4690.12,6599.9,,5837.49,,8823.45,,11290.02,14660.94
Théâtre Français,3158.6,2510.7,2475.6,1909.6,2435.8,2658.6,3046.3,5669.3,12525.9
Opéra-Comique,6068.5,2948.5,3453,2815,1651.5,3339.5,4453.5,9017,15712.5
Théâtre des Italiens,,,,,,,,,
Odéon,2249,770.5,682.25,395,583.25,542,1025.25,3019.5,3227.75
Théâtre-Lyrique,2053,1874.5,4009,1029.5,2.879.50,1729,4562,3927.5,11329.5
Vaudeville,1111.5,1181.59,2986.5,3112.5,4015.5,3608,3868,2293.09,17590.5
Théâtre des Variétés,3301.5,1601.5,,1448,1381,1569.5,1715,4903,6113.5
Gymnase,2834.25,3734.25,3775.25,3218,3332.25,3713.75,3605.25,6568.5,17644.5
Palais-Royal,2712.5,2122,1775.75,1506.25,1811.45,1811.75,2420.45,4834.5,9325.65
Porte Saint-Martin,6183.5,5155.25,5177.5,3750.5,4400.56,4569.25,4708.25,11338.75,22606.06
Gaîté,4736.5,3049.5,3048,2226.5,2433,2833.75,3264.5,7786,13805.75
Ambigu-Comique,4002.5,,2908.5,2006.25,2211,3022.5,2954.75,4002.5,13103
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,2671.4,,951.15,527.1,507.6,786.2,751,2671.4,3523.05
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,45772.87,31548.19,31242.5,29781.69,24762.91,39007.25,36374.25,77321.06,161168.6
