Théâtres,1863-01-25,1863-01-26,1863-01-27,1863-01-28,1863-01-29,1863-01-30,1863-01-31,25 - 31 jan.
Opéra,,,,,,,,
Théâtre Français,3004.9,5669.4,5314.4,647.9,5693.1,1087.8,6150.5,27568
Opéra-Comique,5230.5,3181,3518.5,3437.5,4117.75,3608,6135.5,29228.75
Théâtre des Italiens,12301.5,,7987.3,,11703.6,,12530.3,44522.7
Odéon,1961,513.25,527.25,589,623,2741,626.25,7580.75
Théâtre-Lyrique,2864.5,1738,6426,1293.5,2068.5,1631.5,7008.5,23030.5
Vaudeville,1557,970.5,828,1206,1067.5,1207,1523,8359
Théâtre des Variétés,2443.5,1363,1358,1268.5,1385.5,1471,2582.5,11872
Gymnase,3093,1848.75,2017,1790,1776.75,2075.25,2119.25,14720
Palais-Royal,2822.75,1601.5,1347.15,1715.75,1810.65,1505.2,2618.75,13421.75
Porte Saint-Martin,4587.25,4018.75,3768.75,3761.25,4242.25,3572.5,4504.25,28455
Gaîté,5121,3130.25,2481.25,2833.5,2911.7,2891.75,3416.25,22785.7
Ambigu-Comique,2742.75,986.5,991.25,1593.25,,,1908,8221.75
Théâtre Impérial du Cirque,5307,3438.25,3020.5,2871.25,3541.25,,5012.25,23190.5
Folies-Dramatiques,,,,,,,,
Délassement Comiques,971.5,805.5,769,1045,521,870.5,,4982.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1967.5,1290.5,1422.5,1339,1511.5,1320.5,1932.5,10784
Folies Nouvelles,,,,,,,,
Total,55975.65,30555.15,41776.85,25391.4,42974.05,23982,58067.8,278722.9
