Théâtres,1863-12-06,1863-12-07,1863-12-08,1863-12-09,1863-12-10,1863-12-11,1863-12-12,6 - 12 déc.
Opéra,7075.23,6991.46,,5421.58,,9246.06,,28734.33
Théâtre Français,2820.9,2313.2,1845.6,1969.9,2177.3,2456.1,1256.4,14839.4
Opéra-Comique,6149,2644.5,8712,3271,3109.5,3204,2903.5,29993.5
Théâtre des Italiens,,,,,,,,
Odéon,2145,774.5,722.5,489.25,604.75,507.5,898.5,6142
Théâtre-Lyrique,2344.5,1643,4001.5,1712.5,4188.5,1652,3504.5,19046.5
Vaudeville,2926.5,3696.5,3797.5,3611.5,,3452,3589.5,21073.5
Théâtre des Variétés,3562,1411,1517,1392.5,1189,1563.5,1768.5,12403.5
Gymnase,3128,3611,3609.25,3474.75,3163.5,3587.25,3456.75,24030.5
Palais-Royal,3120,2449.25,1801.75,2112.25,1907.25,2013.95,2009.7,15414.15
Porte Saint-Martin,6301,4628.25,4843.5,4462.75,4220,4532.5,4364.5,33352.5
Gaîté,4684.25,2872,2681.5,2565.75,2885.5,2348.75,2953,20990.75
Ambigu-Comique,4066.5,,,,,2810.5,2610.25,9487.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2559.35,1517.9,1008.25,886.9,915.2,1075.7,,7963.3
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,50882.23,34552.56,34540.35,31370.63,24360.5,38449.81,29315.1,243471.18
