Théâtres,1863-06-14,1863-06-15,1863-06-16,1863-06-17,1863-06-18,1863-06-19,1863-06-20,14 - 20 juin
Opéra,,,,,,,,
Théâtre Français,3596.4,2520.8,2387.9,1804.3,1372.1,2778,2578.7,17038.2
Opéra-Comique,3815.5,5001.25,1951.5,5044.75,2205,5579,2117.5,25714.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,1212,808.5,764,802,700.5,1088,1114,6489
Théâtre des Variétés,2035,1032,1079,804.5,1039.5,1875.5,1288.5,9154
Gymnase,978.25,872.5,761,720.5,935.75,1101.5,742,6111.5
Palais-Royal,1531.5,3513.2,1101.45,1127.45,1229.25,2019,1838,12359.85
Porte Saint-Martin,4063.75,2883.5,2671.75,2927,2497.75,3066.25,3478.5,21588.5
Gaîté,1749.75,796.75,603,623.5,756,1151.25,1748.75,7429
Ambigu-Comique,1804.5,801.5,565.5,708,685.25,813.75,907,6285.5
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2002.85,1196.9,953.7,780.15,763.55,1012,872.3,7581.45
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,22789.5,19426.9,12838.8,15342.15,12184.65,20484.25,16685.25,119751.5
