Théâtres,1863-04-05,1863-04-06,1863-04-07,1863-04-08,1863-04-09,1863-04-10,1863-04-11,5 - 11 avr.
Opéra,,,,,,,,
Théâtre Français,2418.6,4456.1,3434.4,3223.1,4455.9,3025.4,4289.6,25303.1
Opéra-Comique,4524.25,3931.25,5741,10873,4289.5,5076.5,2145.5,36581
Théâtre des Italiens,4188.5,3645,6285.1,,7409.9,,9470.6,30999.1
Odéon,1251.25,1062.5,1141.25,478.45,1304,985,1183.75,7406.2
Théâtre-Lyrique,5504,3823,4508,4144,5304.5,4146.5,5334.5,32764.5
Vaudeville,1112,1383.5,1191.5,1804.56,1909.5,1519,1671,10591.06
Théâtre des Variétés,1320,1280.5,1444,1429,1205.5,1442,1383,9504
Gymnase,2346,3083.5,2453.75,3029,3004.5,2973.75,2947.5,19838
Palais-Royal,1862.5,2310.4,2459.9,2503.75,1923.5,2104.25,2013,15177.3
Porte Saint-Martin,4047.75,3940.5,2603.75,2408,2506.5,2199.5,3113.75,20819.75
Gaîté,3883.75,4168.75,3003.25,3093.5,3133,2776.75,3000.25,23059.25
Ambigu-Comique,2018.5,2261.75,1501.5,1504,1500,1407,1401.25,11594
Théâtre Impérial du Cirque,7022,9012.75,555,,,,,16589.75
Folies-Dramatiques,1098.35,899.65,,506.35,496.75,489,1137.15,4627.25
Délassement Comiques,416.5,529,409,364.5,272.5,,,1991.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1446,1618.5,1832,1811.5,1638,1918.5,1837.5,12102
Folies Nouvelles,,,,,,,,
Total,44459.95,47406.65,38563.4,37172.71,40353.55,30063.15,40928.35,278947.76
