An 1863,,,,,,,
Mois,Semaines,,,,,,Total mois
Janvier,185659.25,290955.9,265870.95,282182.7,278722.9,,1303391.7
Février,300864.17,311923.65,315139.49,241129.15,,,1169056.46
Mars,260410.35,301672.8,296094.3,255911.4,105331.36,,1219420.21
Avril,68205.6,278947.76,227071.26,181560.6,143757.04,,899542.26
Mai,46108.25,148326.45,152405.35,181179.35,185120.954,25839.45,738979.804
Juin,81890.05,146352.05,119751.5,64954.7,44097.05,,457045.35
Juillet,35186.31,54242.35,67591.84,102945.9,80370.96,,340337.36
Août,10160.8,74676.18,50729.83,161370.79,152437.94,50359.84,499735.38
Septembre,126624.07,230627.43,200227.81,234170.75,140858.51,,932508.57
Octobre,106917.65,275325.7,271239.49,246024.44,252072.78,,1151580.06
Novembre,268405.24,281111.69,255347.56,252766.73,77321.06,,1134952.28
Décembre,161168.6,243471.18,251740.28,236821.27,136217.74,,1029419.07
Total an,1651600.34,2637633.14,2473209.66,2441017.78,1596308.294,76199.29,10875968.504
