Théâtres,1863-02-01,1863-02-02,1863-02-03,1863-02-04,1863-02-05,1863-02-06,1863-02-07,1 - 7 fév.
Opéra,,,,,,,,
Théâtre Français,4225.3,5598.2,2483.9,5579.5,5433.7,2935.1,5504.5,31760.2
Opéra-Comique,5218,2946,2084.5,3269.5,4738.5,3550.5,4439.5,26246.5
Théâtre des Italiens,10752,,6844.6,,6385.1,13077.5,9327.8,46387
Odéon,2079.25,648.5,592,490.5,741.75,,,4552
Théâtre-Lyrique,3751,1453.5,6602,1651,6941,1258,6822.5,28479
Vaudeville,2013,836.5,800,784.5,956,1225.5,1622,8237.5
Théâtre des Variétés,2690,1478,1101.5,1005.7,1138,1542.5,964.5,9920.2
Gymnase,3191.5,1901.5,1475.5,1630.5,1666,1663,1641.5,13169.5
Palais-Royal,2636,1410.25,1716.2,1346.4,1219.4,1216.7,1716,11260.95
Porte Saint-Martin,5130.75,4076.25,3438.5,3843.75,4008.25,3830.5,3363.25,27691.25
Gaîté,5224,2651.5,2364.5,2226.5,2074.75,2028.5,1904.25,18474
Ambigu-Comique,4008.5,3007.5,3003.75,3009.75,3008.25,3007.27,2903.25,21948.27
Théâtre Impérial du Cirque,9851.75,3303,3210.25,3002.75,3280.75,2507,3079,28234.5
Folies-Dramatiques,2508.75,1604.4,1328,1242.15,1358.5,1326,1014,10381.8
Délassement Comiques,977.5,717.5,620.5,848,460,706,579,4908.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2072.5,1482,1524.5,947.5,1027.5,1058,1101,9213
Folies Nouvelles,,,,,,,,
Total,66329.8,33114.6,39190.2,30878,44437.45,40932.07,45982.05,300864.17
