Théâtres,1863-10-18,1863-10-19,1863-10-20,1863-10-21,1863-10-22,1863-10-23,1863-10-24,18 - 24 oct.
Opéra,5805.47,7185.92,,8276.53,,9395.97,,30663.89
Théâtre Français,3292.7,2282,2342.7,2967.3,2046.4,3021.3,3372.3,19324.7
Opéra-Comique,4582,2332,7047,2684.5,4507,2577.5,6728.5,30458.5
Théâtre des Italiens,,,,,,,,0
Odéon,1233.75,422.75,288.5,298.25,1142.25,795.75,721.5,4902.75
Théâtre-Lyrique,4952,1928,3104,1616,3266.5,1888.5,3708,20463
Vaudeville,2902,2151,1972,1139.5,1400,1567.5,1398,12530
Théâtre des Variétés,2893.5,,1243,2387.5,2810.5,2719.5,2753.5,14807.5
Gymnase,2461.5,2069,1589,1157.75,1197.75,892,1334.25,10701.25
Palais-Royal,2708,2259.5,2115.5,2319,2017.5,2110.2,2233.35,15763.05
Porte Saint-Martin,4036,1868.75,1965.75,1104,,,2062.75,11037.25
Gaîté,5205.75,4155,4217.25,4062.75,4150.5,4020.25,3402.25,29213.75
Ambigu-Comique,3705,3006,3003.25,,,,,9714.25
Théâtre Impérial du Cirque,5205.75,4155,4217.25,4062.75,4150.5,4020.25,3402.25,29213.75
Folies-Dramatiques,2450.35,1615.75,1199.4,800.7,,1164.6,,7230.8
Délassement Comiques,,,,,,,,0
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,,,,,,,,0
Folies Nouvelles,,,,,,,,0
Total,51433.77,35430.67,34304.6,32876.53,26688.9,34173.32,31116.65,246024.44
