Théâtres,1863-05-17,1863-05-18,1863-05-19,1863-05-20,1863-05-21,1863-05-22,1863-05-23,17 - 23 mai
Opéra,,,,,,,,
Théâtre Français,2445.5,2696.9,1918.6,2950.2,2361.5,2133.3,2958.4,17464.4
Opéra-Comique,4164,2672,3625,1855,3302.25,2468.5,3075,21161.75
Théâtre des Italiens,,,,,,,,
Odéon,1311,746.75,1364.25,390,3995.5,1004.25,716.75,9528.5
Théâtre-Lyrique,1904,2249.5,6060,2886,6005,3003,5007.5,27115
Vaudeville,1588.5,2487,2531.5,1786,1963,2377.5,1724.5,14458
Théâtre des Variétés,1881.5,2125,2125,1491.5,2402.5,1842.5,1527.5,13395.5
Gymnase,1817.25,1390,1349,1484.25,1481.75,1487.25,1530.5,10540
Palais-Royal,1715.95,2210.95,2821.25,2053.7,2222,2404.75,2012.7,15441.3
Porte Saint-Martin,,,,,,,2705.5,2705.5
Gaîté,2603.5,1802.75,1802,1668.25,1806.75,2043.25,4485.25,16211.75
Ambigu-Comique,3545,2734,2129.5,2004,2106.25,2004.75,1508.5,16032
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2535.4,2366.7,2159.4,2140.4,2194.25,2134.9,1665.1,15196.15
Délassement Comiques,194,420,372,192.5,264,328.5,158.5,1929.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,25705.6,23901.55,28257.5,20901.8,30104.75,23232.45,29075.7,181179.35
