Théâtres,1863-04-19,1863-04-20,1863-04-21,1863-04-22,1863-04-23,1863-04-24,1863-04-25,19 - 25 avr.
Opéra,,,,,,,,
Théâtre Français,2012.9,2930.2,1832.9,3727.4,3065.8,1443.9,3913,18926.1
Opéra-Comique,1888,2626.5,1296.5,3079.25,,3744.5,2161,14795.75
Théâtre des Italiens,,,6805.25,,6676.4,,8609.45,22091.1
Odéon,1140,788.75,864,438,923.25,856.75,846.75,5857.5
Théâtre-Lyrique,1152,2186,1904,1090.5,2537,6187.5,2424,17481
Vaudeville,816.5,1252,1064,1253.5,1466.5,1325,1058.5,8236
Théâtre des Variétés,1014,471,746.5,884.5,1127,1056.5,5163.5,10463
Gymnase,1992.75,2263.5,2432.75,2370,2474.75,2548.25,2440.25,16522.25
Palais-Royal,1614.25,1419.45,1910.2,1749.75,2624,2131.7,2451,13900.35
Porte Saint-Martin,2342.75,2008,2053.5,2573,2321,2320.5,1948.25,15567
Gaîté,2795.5,1893,1834.5,2062.75,1868.75,1892,1546.75,13893.25
Ambigu-Comique,1802,1106.5,1117.75,1329.75,1151,1215,1061,8783
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,454.7,434.9,477.55,479,468.25,440.9,2755.3
Délassement Comiques,,,,,,461,731,1192
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1415,1502.5,1401.5,1550,1781.5,1601.5,1845,11097
Folies Nouvelles,,,,,,,,
Total,19985.65,20902.1,25698.25,22585.95,28495.95,27252.35,36640.35,181560.6
