Théâtres,1863-02-22,1863-02-23,1863-02-24,1863-02-25,1863-02-26,1863-02-27,1863-02-28,22 - 28 fév.
Opéra,,,,,,,,
Théâtre Français,3614.2,5282.3,1614.9,5539.4,5966.4,1530.4,5632,29179.6
Opéra-Comique,5032.25,1495,2041,1864,3919,1464.5,3142,18957.75
Théâtre des Italiens,2973,,6612.4,,6662.25,,7678,23925.65
Odéon,3292.5,2026,1893.5,357.75,1865,2139.25,2090.5,13664.5
Théâtre-Lyrique,2290,1654.5,6500.5,1410,6301.5,2000.5,5831,25988
Vaudeville,1322.5,833.5,714,969,535.5,1094,2645.5,8114
Théâtre des Variétés,3114.5,1735.5,2024.5,1825,1575.5,1661,1584.5,13520.5
Gymnase,3429.25,1979,2002.75,2004.5,1809.75,2405,2240,15870.25
Palais-Royal,2508,1616.5,1705.25,1840,1548.25,1514,2050.7,12782.7
Porte Saint-Martin,4203.25,2939.75,2879.5,2942.25,3236.5,2729.5,3004.25,21935
Gaîté,2608.25,1416.25,1330.5,2976.75,1746.25,1723,1706.25,13507.25
Ambigu-Comique,3612.75,2006.75,1804.75,1813.5,1709.75,1502.5,1502,13952
Théâtre Impérial du Cirque,,,,,,,5605.5,5605.5
Folies-Dramatiques,1962.75,706.7,2355,910.5,831.15,950.55,986.7,8703.35
Délassement Comiques,412,278,296.5,416,222,339,259,2222.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2034.5,1969,1834.5,1740.5,1829,2016.5,1776.6,13200.6
Folies Nouvelles,,,,,,,,
Total,42409.7,25938.75,35609.55,26609.15,39757.8,23069.7,47734.5,241129.15
