Théâtres,1863-05-24,1863-05-25,1863-05-26,1863-05-27,1863-05-28,1863-05-29,1863-05-30,24 - 30 mai
Opéra,,,,,,,,
Théâtre Français,2653.6,3800.3,3142.3,2197.7,2026.7,1414.5,1800.5,17035.6
Opéra-Comique,3567,6071,4093.5,1682.5,2081.5,1616,839.5,19951
Théâtre des Italiens,,,,,,,,
Odéon,1288,1028.75,849,323.75,4164.5,1017.5,559,9230.5
Théâtre-Lyrique,2295.5,3165,6006,2713.5,4716,2914.5,5780,27590.5
Vaudeville,1052.5,2881,1694,1410,1170,1048.5,766,10022
Théâtre des Variétés,1735.5,2836.5,1700,1206.5,675.5,888.5,607.5,9650
Gymnase,1541,2546,1929.25,1325.25,859.25,725.75,771.75,9698.25
Palais-Royal,2014,2718.3,2150.75,1740.5,1325,1423.5,1000.65,12372.7
Porte Saint-Martin,4892.25,6165.25,5388.5,4539.504,4007.5,3613,3408.25,32014.254
Gaîté,2262.5,3217.5,2020.75,1383.5,878.5,1075.75,1377.25,12215.75
Ambigu-Comique,2522.5,3021,2006.5,1507.75,1006.75,1033.25,1005.5,12103.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2212.15,2507.7,2090.85,1539.65,1343.75,1129.75,952.3,11776.15
Délassement Comiques,158.5,423.5,216.5,196,156,151.5,159,1461
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,28195,40381.8,33287.9,21766.104,24410.95,18052,19027.2,185120.954
