Théâtres,1863-11-08,1863-11-09,1863-11-10,1863-11-11,1863-11-12,1863-11-13,1863-11-14,8 - 14 nov.
Opéra,7081.62,8338.16,,7121.65,,9737.61,,32279.04
Théâtre Français,4166.2,2829.5,1952.9,3073.7,2246.2,3419.5,3385,21073
Opéra-Comique,5412,3418.5,3870.5,2722,4097.5,4681,4474.25,28675.75
Théâtre des Italiens,,,,,,,,
Odéon,2844.25,767.75,659,408,538.5,840.75,680.75,6739
Théâtre-Lyrique,5693,3408.5,2426.5,2661.5,2664,4623.5,1701,23178
Vaudeville,2407.5,608,823.5,754.5,860.5,1176,1216.5,7846.5
Théâtre des Variétés,2875,1364.5,1184.5,1365,1182.5,1455.5,1531.5,10958.5
Gymnase,2828.25,3800.25,3714.75,3500.25,3647,1787,3817,23094.5
Palais-Royal,3206,1863.25,2405.75,2102.1,2003.25,2525.95,2351.2,16457.5
Porte Saint-Martin,5609.5,3255,2615.25,2154.5,2977.75,2937.25,2121.75,21671
Gaîté,5404.75,3257.75,2739,2182.25,3288,3301,3672,23844.75
Ambigu-Comique,4016.75,3209.5,3010,2504.25,2921.75,2005,2601,20268.25
Théâtre Impérial du Cirque,8604.25,5166,4677,3577,4885.25,4815.25,5000.75,36725.5
Folies-Dramatiques,2703.3,1359.75,926.75,574.25,999.2,968.95,768.2,8300.4
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,62852.37,42646.41,31005.4,34700.95,32311.4,44274.26,33320.9,281111.69
