Théâtres,1863-10-11,1863-10-12,1863-10-13,1863-10-14,1863-10-15,1863-10-16,1863-10-17,11 - 17 oct.
Opéra,6023.71,9925.82,,7384.84,,9822.47,,33156.84
Théâtre Français,3994.2,2147,2848.6,2566.1,1678.4,3129.5,1750.8,18114.6
Opéra-Comique,4676,2262.5,2665,2849,2929,2223.25,2385.75,19990.5
Théâtre des Italiens,,,,,,,,
Odéon,1518,545.25,132.75,278.5,182.5,698.75,276.25,3632
Théâtre-Lyrique,4837.5,2355,3804,2296,2658.5,,3793,19744
Vaudeville,1055,816,3005,2571,2510,2445,2079,14481
Théâtre des Variétés,3056.5,2205.5,2253,2058,2148,2232,4882,18835
Gymnase,2664,1975.25,1726,1773.75,1415.25,1794,1443,12791.25
Palais-Royal,3162.75,2021.75,2411.7,2223.2,2214.7,2506.75,2410,16950.85
Porte Saint-Martin,5116.75,2628.5,2507.5,,,,1775,12027.75
Gaîté,5334.5,4262.5,4141.5,3756.25,3667.25,3664.5,4063.5,28890
Ambigu-Comique,2908.75,1525.25,1278.5,2484.75,,,1578.25,9775.5
Théâtre Impérial du Cirque,9520.5,8602.75,8275.25,8009.75,7312,7656,7848.75,57225
Folies-Dramatiques,1868.85,,1045.5,793.25,,1239,678.6,5625.2
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,55737.01,41273.07,36094.3,39044.39,26715.6,37411.22,34963.9,271239.49
