Théâtres,1863-04-12,1863-04-13,1863-04-14,1863-04-15,1863-04-16,1863-04-17,1863-04-18,12 - 18 avr.
Opéra,,,,,,,,
Théâtre Français,3055.4,3727.7,9690,3877.8,1730.5,3989.7,3531.7,29602.8
Opéra-Comique,4551.5,2914.5,3495.75,1928.5,2965.5,2486.5,3812.75,22155
Théâtre des Italiens,,,7443.6,,5649.9,,6483.6,19577.1
Odéon,1310.25,835.25,704,393.25,985.5,864.5,845.25,5938
Théâtre-Lyrique,2528,2609,5146,3000.5,5604.5,3409,6576.5,28873.5
Vaudeville,1262.5,1161.5,1262.5,1400.5,1520.5,1662.5,1335.5,9605.5
Théâtre des Variétés,2071.5,1710,1172.5,1502.5,1157.5,1048.5,741.5,9404
Gymnase,3078.5,2448.75,2331,2251.25,11283,2942.25,2701.75,27036.5
Palais-Royal,2007.7,1727.35,1916.45,2111.2,1911.75,2011.26,1725.4,13411.11
Porte Saint-Martin,3112.5,2769.5,2461.25,3080.5,2618.25,2091,2059,18192
Gaîté,4111.75,2003.5,2477,2508,2357.5,2052.25,2104.5,17614.5
Ambigu-Comique,2102,1204.75,1104.75,1411.25,1516.25,1001.75,1105.25,9446
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1128.2,423.3,,328.3,465.1,1012.05,517.8,3874.75
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1807,1468,2000.5,1814.5,1741,1759,1750.5,12340.5
Folies Nouvelles,,,,,,,,
Total,32126.8,25003.1,41205.3,25608.05,41506.75,26330.26,35291,227071.26
