Théâtres,1863-05-10,1863-05-11,1863-05-12,1863-05-13,1863-05-14,1863-05-15,1863-05-16,10 - 16 mai
Opéra,,,,,,,,
Théâtre Français,2745.9,1695.3,2325.1,3779.7,4031.1,1650.5,3071,19298.6
Opéra-Comique,2388.5,4138,3386.75,4309.75,2617.5,3519.5,1709.25,22069.25
Théâtre des Italiens,,,,,,,,
Odéon,741.5,794.5,620,517.25,902.25,350,289.5,4215
Théâtre-Lyrique,939.5,3003,1514.5,2917.5,2550,2312.5,4528,17765
Vaudeville,1637.5,2346.5,2439.5,2287,1870,2192,2070,14842.5
Théâtre des Variétés,1274.5,,1681,976.5,2293.5,1465,1405.5,9096
Gymnase,1583,,1884.15,1174.5,1801,1554.75,1305.25,9302.65
Palais-Royal,1730.45,,1962.25,2010.45,1811,1716,1338,10568.15
Porte Saint-Martin,1248,1029.25,1076.25,981.5,1046.5,552,,5933.5
Gaîté,1720.5,1163,1139.25,1219.25,2025,1052.25,589,8908.25
Ambigu-Comique,2502,2067,2010.5,1805.5,3037.5,1507,1738.75,14668.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2018.4,1989.4,2082.2,2039.55,2502.75,1865.1,1740.8,14238.2
Délassement Comiques,186.5,123.5,319,283.5,230,133.5,224,1500
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,20716.25,18349.45,22440.45,24301.95,26718.1,19870.1,20009.05,152405.35
