Théâtres,1863-06-28,1863-06-29,1863-06-30,1863-07-01,1863-07-02,1863-07-03,1863-07-04,28 - 30 juin,1 - 4 juil.
Opéra,,,,,,,,,
Théâtre Français,2008.1,1118.8,2674.8,1761.9,739.2,1108.6,1078,5801.7,4687.7
Opéra-Comique,1743.5,2110.25,3380,647.75,2032,756,2410.5,7233.75,5846.25
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,,,,,,,,,
Vaudeville,462,802.5,458.5,1218.5,569.5,806,555,1723,3149
Théâtre des Variétés,801.5,1405,617,468,379.5,538.5,372,2823.5,1758
Gymnase,640,1090.25,585.75,381.75,257.5,451,221.5,2316,1311.75
Palais-Royal,1211.2,2133.95,1612.5,833.5,618.9,916.41,612.65,4957.65,2981.46
Porte Saint-Martin,1750.5,3031,2218.5,1887.5,1398.5,1396,1590.5,7000,6272.5
Gaîté,1736.75,1631,978.5,736.75,840.25,744,625.75,4346.25,2946.75
Ambigu-Comique,1769,1700,1415.75,904,704,903.5,605,4884.75,3116.5
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,639.45,1011.2,1359.8,590.3,2021.15,296.65,208.3,3010.45,3116.4
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,12762,16033.95,15301.1,9429.95,9560.5,7916.66,8279.2,44097.05,35186.31
