Théâtres,1863-12-13,1863-12-14,1863-12-15,1863-12-16,1863-12-17,1863-12-18,1863-12-19,13 - 19 déc.
Opéra,5096.46,6330.53,,7016.04,,7831.15,,26274.18
Théâtre Français,3813,2321.4,2396,2178.3,3268.8,2640.9,3735.6,20354
Opéra-Comique,6192,2647.5,2667.5,2582,2617.25,3185.5,3265.5,23157.25
Théâtre des Italiens,,,,,,,,
Odéon,1872,661,705.75,428.75,438.25,647,413.5,5166.25
Théâtre-Lyrique,1756.5,1351,4087.5,1649.5,2612.5,1872,3222.5,16551.5
Vaudeville,2072,3269.5,3400.5,2650.5,2557,3029.5,3009.5,19988.5
Théâtre des Variétés,2906.5,1226.5,1434.5,1147,1393,1903,2255,12265.5
Gymnase,2839,3322.25,3200.5,2865.25,3120.5,3166,3078.75,21592.25
Palais-Royal,2716.5,1816.75,2310,2006.7,1812.25,1520.2,880.75,13063.15
Porte Saint-Martin,6080,4214.5,4008.5,3487.5,3512,3485.25,3264.5,28052.25
Gaîté,4518.5,2978.75,2551.25,2384.5,2502.25,2525.75,20001,37462
Ambigu-Comique,4002.75,3306.5,2650.75,2523,2208.25,2716.25,2370,19777.5
Théâtre Impérial du Cirque,,,2862,,,,,2862
Folies-Dramatiques,2574.5,1102.35,,,,,1497.1,5173.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,46439.71,34548.53,32274.75,30919.04,26042.05,34522.5,46993.7,251740.28
