Théâtres,1863-03-22,1863-03-23,1863-03-24,1863-03-25,1863-03-26,1863-03-27,1863-03-28,22 - 28 mar.
Opéra,,,,,,,,
Théâtre Français,4129.1,5089.3,4001.8,4768.1,3871.5,3686.5,4577.1,30123.4
Opéra-Comique,3728.5,2361.5,1876,1985.5,1200,2075.25,865.25,14092
Théâtre des Italiens,6174,,7684.4,,5562.05,,7243,26663.45
Odéon,2259.75,1069.75,1082.75,288.25,906.5,853.25,852.5,7312.75
Théâtre-Lyrique,2300,529.5,6169,1180.5,5928.5,742.5,6304.5,23154.5
Vaudeville,2121,1633.5,1651,1677.5,1359.5,1638.5,1108.5,11189.5
Théâtre des Variétés,2067,1505.5,1323.5,1150,1730.5,1248,1328.5,10353
Gymnase,1645.75,840.75,735.25,734,1581.25,1728.25,2090,9355.25
Palais-Royal,3008,2344.25,2325.9,2254.25,2000.7,2217.65,2002.9,16153.65
Porte Saint-Martin,4004.25,,,2248,3465.25,3603,3548,16868.5
Gaîté,5563.5,4302.25,3828.25,3945.25,3535,3210.25,2917,27301.5
Ambigu-Comique,2409.25,1066.5,1017.5,745,628.25,502.75,603.25,6972.5
Théâtre Impérial du Cirque,8303,5830.5,5301,4675,4265.5,4079.75,4191.25,36646
Folies-Dramatiques,2068.85,977.75,649.75,530.6,354.3,350.9,1535.25,6467.4
Délassement Comiques,1030.5,614.5,665,704,363.5,796,434.5,4608
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1136,1227.5,1447.5,1422.5,1123,1125,1168.5,8650
Folies Nouvelles,,,,,,,,
Total,51948.45,29393.05,39758.6,28308.45,37875.3,27857.55,40770,255911.4
