Théâtres,1863-12-20,1863-12-21,1863-12-22,1863-12-23,1863-12-24,1863-12-25,1863-12-26,20 - 26 déc.
Opéra,,6766.64,,8510.32,,7455.11,,22732.07
Théâtre Français,4192.7,1534.3,2781.9,1907.1,2159.1,2912.6,1982.9,17470.6
Opéra-Comique,5498.75,1439,2750,2300,2109.5,4152.5,4399.5,22649.25
Théâtre des Italiens,,,,,,,,
Odéon,1271.5,492.25,344.25,365.25,758.5,1059.5,552.5,4843.75
Théâtre-Lyrique,2317,2477,,2115.5,781,3655.5,3529,14875
Vaudeville,1568.5,2344,2350,1736,2455.5,3020.5,2417.5,15892
Théâtre des Variétés,2261.5,1358,2014.5,2250.5,2547.5,3231,2583,16246
Gymnase,4434.5,3234,2982,2610.75,2931,3228.25,3230,22650.5
Palais-Royal,3152,2124.75,1913,1332.3,2217.2,3240,,13979.25
Porte Saint-Martin,5209.25,2581.5,2532.5,2352.5,2828,4267.5,3739.5,23510.75
Gaîté,3906,2103.25,2066,1915.5,2574,3129.4,3302.75,18996.9
Ambigu-Comique,3752,2425.25,2013,1909,1745,2521.5,,14365.75
Théâtre Impérial du Cirque,3954.75,2305.25,2326,,2212.75,3319.75,3841.25,17959.75
Folies-Dramatiques,1627.6,1554.7,1350.4,1039.8,1204.1,2487.95,1385.15,10649.7
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,43146.05,32739.89,25423.55,30344.52,26523.15,47681.06,30963.05,236821.27
