Théâtres,1863-08-09,1863-08-10,1863-08-11,1863-08-12,1863-08-13,1863-08-14,1863-08-15,9 - 15 août
Opéra,,4836.58,,5495.93,,6047.12,,16379.63
Théâtre Français,462,397.9,656.6,386,870.4,706.2,,3479.1
Opéra-Comique,959.5,,1759,462.5,1846.5,605,,5632.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,357,342,381,372,329,,1781
Théâtre des Variétés,238.5,375,314,401.5,288,316.5,,1933.5
Gymnase,219.5,224.75,413,612.5,364.25,401,,2235
Palais-Royal,203.6,205.3,260.8,300.55,303.8,505.8,,1779.85
Porte Saint-Martin,1058,,1582.75,,1390.5,1952,,5983.25
Gaîté,,,,,,2613.75,,2613.75
Ambigu-Comique,1208.5,1002.25,621.75,758,1002,601.5,,5194
Théâtre Impérial du Cirque,802.5,887.75,825,1046,,,,3561.25
Folies-Dramatiques,,98.05,,,58.95,,,157
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,5152.1,8384.58,6774.9,9843.98,6496.4,14077.87,,50729.83
