Théâtres,1863-11-22,1863-11-23,1863-11-24,1863-11-25,1863-11-26,1863-11-27,1863-11-28,22 - 28 nov.
Opéra,6469.71,8809.9,,7958.77,,10503.45,,33741.83
Théâtre Français,4497.8,2818.6,2311.8,2841.3,2636.9,1727.3,3266.4,20100.1
Opéra-Comique,5452.5,2981.5,3606.5,3984,3517.5,4297.5,1507.25,25346.75
Théâtre des Italiens,,,,,,,,
Odéon,2526.25,842,810.5,828.25,687.75,548.75,1058.75,7302.25
Théâtre-Lyrique,4456.5,2826,674,3223.5,1494,2446.5,3307.5,18428
Vaudeville,1863.5,839.5,,609,,,769,4081
Théâtre des Variétés,3385,1733.5,2272,1368,2216,1382,2352,14708.5
Gymnase,4794,3629.25,3748.75,3655.75,3749.5,3721.25,3905.75,27204.25
Palais-Royal,2809.75,2110,2019,2236.45,1713,2156.5,2305.2,15349.9
Porte Saint-Martin,4794.25,2548,,,2714,3377,4346.75,17780
Gaîté,4821.25,3234.25,3156.5,3424,3092.25,3233,3823.75,24785
Ambigu-Comique,4022.5,2792.75,3024.75,3005.5,2704.5,2752.5,,18302.5
Théâtre Impérial du Cirque,7547.75,3900.25,3579.25,4094.5,,,,19121.75
Folies-Dramatiques,2658.9,1500.55,1081.7,1273.75,,,,6514.9
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,60099.66,40566.05,26284.75,38502.77,24525.4,36145.75,26642.35,252766.73
