Théâtres,1863-02-15,1863-02-16,1863-02-17,1863-02-18,1863-02-19,1863-02-20,1863-02-21,15 - 21 fév.
Opéra,,,,,,,,
Théâtre Français,3615.8,6064.9,5799.9,5315.7,1344.89,5368.9,5293,32803.09
Opéra-Comique,5751,6706,6873,1652.5,2926,2713,2500.25,29121.75
Théâtre des Italiens,12891.5,,8161.6,,7035.6,,6664.3,34753
Odéon,6283.75,2836,3523.75,404.25,2388.75,1151.25,2167.25,18755
Théâtre-Lyrique,3285.5,4834.5,7225.5,1500,7004,1839,7044,32732.5
Vaudeville,2632,3081,3801.5,941,1063,1030.5,2099.5,14648.5
Théâtre des Variétés,3625.5,3129,3779,2311,2503.5,2301,2303.5,19952.5
Gymnase,2261.5,2427.5,3162.5,1285.5,1892,2249.5,3289.25,16567.75
Palais-Royal,3012.5,2905.75,3803.75,1706.5,2136.75,2014.25,2258.25,17837.75
Porte Saint-Martin,4537.25,"5.5p5,50",6000.25,2947.25,3295.75,3403.25,3299.5,23483.25
Gaîté,3320.25,3181,4402.25,1334.5,1835,1543.75,1121.5,16738.25
Ambigu-Comique,3803.25,3481.75,3808.75,,2004.5,2307,2004.25,17409.5
Théâtre Impérial du Cirque,5564.5,,7443,3515,,,,16522.5
Folies-Dramatiques,2192,1681.5,2374.5,794.5,808.65,875.25,737.75,9464.15
Délassement Comiques,552.5,556,935,277.5,495.5,664.5,452,3933
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1858,2425.5,2679,1077.5,,745,1632,10417
Folies Nouvelles,,,,,,,,
Total,65186.8,43310.4,73773.25,25062.7,36733.89,28206.15,42866.3,315139.49
