Théâtres,1863-08-16,1863-08-17,1863-08-18,1863-08-19,1863-08-20,1863-08-21,1863-08-22,16 - 22 août
Opéra,,8479.17,,8398.33,,8734.69,,25612.19
Théâtre Français,750.8,878.7,1558.8,1166.7,1253.4,93.4,1466.1,7167.9
Opéra-Comique,1853,622.5,2141.25,1680,2554.75,916,1959.5,11727
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,509.5,1049,1425.5,1096.5,1223,992,6295.5
Théâtre des Variétés,468,681.5,1298.5,2040.5,1781,1471,1147,8887.5
Gymnase,668.25,741.5,1704.25,2009.75,1816.5,1826.25,1754.75,10521.25
Palais-Royal,409.6,435.5,1214.8,1812.25,1166,1102.5,713.6,6854.25
Porte Saint-Martin,3008.25,3068.75,3811.75,3657,3173,2818,2437.25,21974
Gaîté,2812,3679.25,4308.25,4933,5009.75,5173,5032.25,30947.5
Ambigu-Comique,1719.75,1404,1702,2000,1909,1906,1503.75,12144.5
Théâtre Impérial du Cirque,2276,2448.75,3002,3029.5,2648.5,2274.5,2003,17682.25
Folies-Dramatiques,253.45,,,,,,1303.5,1556.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,14219.1,22949.12,21790.6,32152.53,22408.4,27538.34,20312.7,161370.79
