Théâtres,1863-06-21,1863-06-22,1863-06-23,1863-06-24,1863-06-25,1863-06-26,1863-06-27,21 - 27 juin
Opéra,,,,,,,,
Théâtre Français,1590.6,1960.5,1239.9,602.6,1067.5,880,1417.2,8758.3
Opéra-Comique,1389.5,3037.25,1667.5,1910,1567,2482,1156.5,13209.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,805.5,368.5,,,250,264.5,489,2177.5
Théâtre des Variétés,698,548,526,249,493,468,468,3450
Gymnase,915.5,487,541.25,343,486,280.5,392,3445.25
Palais-Royal,1409.7,800.65,844.9,205.4,717.1,1328.7,853.95,6160.4
Porte Saint-Martin,3301.75,1398.75,2006,1243.75,1373,1553,1583.75,12460
Gaîté,2312.5,1156.5,925,555,814.25,844,674.75,7282
Ambigu-Comique,1106.25,364.25,703.5,703,554,,574,4005
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1250.9,669.55,507.85,406.6,361.45,410.6,399.55,4006.5
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,14780.2,10790.95,8961.9,6218.35,7683.3,8511.3,8008.7,64954.7
