Théâtres,1863-07-05,1863-07-06,1863-07-07,1863-07-08,1863-07-09,1863-07-10,1863-07-11,5 - 11 juil.
Opéra,,,,,,6211.6,,6211.6
Théâtre Français,908.8,599.9,651.9,1016.3,668.5,938.9,711.5,5495.8
Opéra-Comique,658,1067.5,1191,1550.5,1025.5,1711,1167,8370.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,274.5,268,304,338,308.5,246.5,1739.5
Théâtre des Variétés,1199.5,900.5,968.5,855,881,1170,952.5,6927
Gymnase,292,190.25,194.25,313,191,253,,1433.5
Palais-Royal,813.5,737.25,612.65,730,712,607.25,625.25,4837.9
Porte Saint-Martin,1474.5,1462.5,1037,1317.5,1307.5,1089.25,1197.5,8885.75
Gaîté,1201.75,621.25,,460.75,377.5,629,401.75,3692
Ambigu-Comique,1508.5,902.75,600.5,704,704,702.25,532.25,5654.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,323.5,178.25,190.85,206.5,95.45,,,994.55
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,8380.05,6934.65,5714.65,7457.55,6300.45,13620.75,5834.25,54242.35
