Théâtres,1863-06-07,1863-06-08,1863-06-09,1863-06-10,1863-06-11,1863-06-12,1863-06-13,7 - 13 juin
Opéra,,,,,,,,
Théâtre Français,2155,2507.1,2048,1543.1,2517.4,1927.8,1730.6,14429
Opéra-Comique,6002,4678,2385.5,6050,2279.5,6086,2714.25,30195.25
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,2716.5,1444.5,1557.5,1209,1123.5,1665,1602,11318
Théâtre des Variétés,2684.5,1168.5,828,854.5,679,1569.5,1626,9410
Gymnase,2546.25,814,826.5,1138.5,855.75,1168.25,1041.75,8391
Palais-Royal,3208.5,1923,1716.5,1500.25,1359.7,2207.5,2020,13935.45
Porte Saint-Martin,6009.25,4176.5,4175,3821.5,4242,4085,3627.25,30136.5
Gaîté,3041.75,1874.75,1163.25,1114,1048.25,1065.25,851.5,10158.75
Ambigu-Comique,3222.75,1253.5,1325.5,1100.25,1127.25,1152.25,1001,10182.5
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2475.85,1408.35,1805.65,,,1280.9,1224.85,8195.6
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,34062.35,21248.2,17831.4,18331.1,15232.35,22207.45,17439.2,146352.05
