Théâtres,1863-10-04,1863-10-05,1863-10-06,1863-10-07,1863-10-08,1863-10-09,1863-10-10,4 - 10 oct.
Opéra,5601.35,9706.95,,8273.43,,5784.67,,29366.4
Théâtre Français,2843.8,2481.25,3263.8,2299.6,1990,3159.7,1722.6,17760.75
Opéra-Comique,5006,2461.25,2894.75,3246,3138.5,3811.5,2993,23551
Théâtre des Italiens,,,,,,,,
Odéon,1465.5,661.75,203.75,3369,297,236.5,280.5,6514
Théâtre-Lyrique,2883,3007.5,4194.5,2198.5,3882.5,2037.5,4297,22500.5
Vaudeville,,973,1182.5,,,,,2155.5
Théâtre des Variétés,3171,2820.5,2654,2340.5,2323.5,2050,2242.5,17602
Gymnase,2786.75,2407,2506.25,2346.5,2215.75,1992,1879.75,16134
Palais-Royal,3026.5,2540.25,2530.75,2410.25,2622.25,2612.75,2305.45,18048.2
Porte Saint-Martin,3312,3670,2020.75,1891.25,,1838.75,2796,15528.75
Gaîté,5557.25,5569.75,5184.5,4686.75,4761.75,4380,4360,34500
Ambigu-Comique,3401.75,2500.5,1952,1248.25,1841.75,1373.5,1179.5,13497.25
Théâtre Impérial du Cirque,9233.25,8004.75,8297.25,8012.5,,8008.25,8807,50363
Folies-Dramatiques,1708.5,976.45,502.2,464.95,2368.55,917.45,866.25,7804.35
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,49996.65,47780.9,37387,42787.48,25441.55,38202.57,33729.55,275325.7
